Planet,Rp,Rp_unc,Period,Ms,Ms_unc_u,Ms_unc_l,Rs,Rs_unc_u,Rs_unc_l,SE_MN
Kepler-815,4.98,0.60,8.5752222,1.69,0.5,0.5,3.88,0.43,0.43,1
HAT-P-11,4.887,0.065,4.8878024015,0.86,0.06,0.06,0.76,0.01,0.01,1
K00367.01,4.72,0.15,31.57867112,1.11,0.09,0.09,1.03,0.03,0.03,1
Kepler-278b,4.59,0.26,30.1585691,1.298,0.076,0.076,2.935,0.066,0.066,1
Kepler-4,4.22,0.12,3.2136713491,1.09,0.07,0.07,1.55,0.04,0.04,1
Kepler-145c,3.92,0.11,42.8825415,1.419,0.030,0.030,1.887,0.014,0.012,1
Kepler-92b,3.65,0.13,13.74893375,1.209,0.030,0.020,1.719,0.013,0.011,1
Kepler-103b,3.476,0.039,15.96531618,1.099,0.030,0.019,1.455,0.013,0.024,1
Kepler-464,3.44,0.10,7.25703845,1.2,0.08,0.08,1.6,0.04,0.04,1
Kepler-1219,3.42,0.37,16.104612,1.38,0.5,0.5,2.68,0.25,0.25,1
Kepler-278c,3.31,0.12,51.085135,1.298,0.076,0.076,2.935,0.066,0.066,1
Kepler-95,3.290,0.094,11.523084497,1.12,0.08,0.08,1.45,0.04,0.04,1
K00288.01,3.208,0.055,10.27537531,1.41,0.08,0.08,2.09,0.03,0.03,1
Kepler-23c,3.12,0.10,10.74243439,1.078,0.077,0.077,1.548,0.048,0.048,1
Kepler-506,3.088,0.082,6.883408126,1.23,0.1,0.1,1.2,0.03,0.03,1
K00092.01,3.00,0.13,65.7045317,1.08,0.11,0.11,1.05,0.03,0.03,1
Kepler-107e,2.92,0.10,14.74917634,1.142,0.068,0.068,1.411,0.047,0.047,1
Kepler-130c,2.811,0.084,27.50868637,0.934,0.059,0.059,1.127,0.033,0.033,1
Kepler-410,2.786,0.045,17.83361347,1.22,0.07,0.07,1.35,0.02,0.02,1
Kepler-449c,2.764,0.086,33.672710,0.969,0.053,0.053,1.467,0.033,0.033,1
Kepler-25b,2.702,0.037,6.238536933,1.160,0.050,0.040,1.299,0.016,0.015,1
Kepler-509,2.67,0.20,41.74600997,1.05,0.07,0.07,1.19,0.02,0.02,1
Kepler-127d,2.668,0.084,48.6299757,1.240,0.086,0.086,1.359,0.035,0.035,1
Kepler-338d,2.66,0.15,44.428716,1.142,0.084,0.084,1.735,0.082,0.082,1
Kepler-96,2.647,0.088,16.238481993,1.03,0.1,0.1,0.94,0.03,0.03,1
Kepler-109c,2.634,0.043,21.22262030,1.069,0.040,0.040,1.339,0.015,0.017,1
Kepler-450c,2.62,0.14,15.41313585,1.346,0.084,0.084,1.570,0.085,0.085,1
Kepler-805,2.611,0.095,30.863310,1.08,0.07,0.07,1.59,0.03,0.03,1
K00974.01,2.601,0.060,53.5059320,1.21,0.08,0.08,1.85,0.04,0.04,1
Kepler-338b,2.58,0.13,13.7269947,1.142,0.084,0.084,1.735,0.082,0.082,1
Kepler-65c,2.571,0.033,5.859940823,1.199,0.030,0.030,1.401,0.014,0.013,1
Kepler-145b,2.56,0.28,22.9510223,1.419,0.030,0.030,1.887,0.014,0.012,1
Kepler-129c,2.522,0.066,82.1908,1.159,0.030,0.030,1.649,0.014,0.012,1
Kepler-126d,2.513,0.031,100.2820841,1.148,0.049,0.051,1.345,0.018,0.015,1
K01962.01,2.51,0.14,32.8586158,1.04,0.07,0.07,1.5,0.04,0.04,1
Kepler-338c,2.48,0.14,24.3116887,1.142,0.084,0.084,1.735,0.082,0.082,1
Kepler-92c,2.455,0.053,26.7231119,1.209,0.030,0.020,1.719,0.013,0.011,1
Kepler-911,2.44,0.11,20.3089573,1.22,0.08,0.08,1.93,0.04,0.04,1
Kepler-129b,2.409,0.040,15.79161953,1.159,0.030,0.030,1.649,0.014,0.012,1
Kepler-127c,2.389,0.067,29.3934417,1.240,0.086,0.086,1.359,0.035,0.035,1
Kepler-454,2.38,0.094,10.57375412,1.15,0.11,0.11,1.1,0.03,0.03,1
Kepler-68b,2.354,0.020,5.398753313,1.070,0.020,0.010,1.2379,0.0051,0.0067,1
Kepler-510,2.350,0.077,19.55646462,0.81,0.11,0.11,1.38,0.04,0.04,1
Kepler-109b,2.338,0.034,6.481637080,1.069,0.040,0.040,1.339,0.015,0.017,1
Kepler-10c,2.323,0.028,45.29429297,0.920,0.020,0.010,1.0662,0.0075,0.0069,1
Kepler-467,2.26,0.09,24.9933721,1.01,0.07,0.07,1.36,0.04,0.04,1
Kepler-23d,2.235,0.088,15.2742917,1.078,0.077,0.077,1.548,0.048,0.048,1
Kepler-100c,2.221,0.022,12.81590926,1.109,0.020,0.020,1.5131,0.011,0.0093,1
K00280.01,2.190,0.068,11.87287711,1.03,0.09,0.09,1.04,0.02,0.02,1
Kepler-92d,2.067,0.056,49.356824,1.209,0.030,0.020,1.719,0.013,0.011,1
Kepler-449b,2.056,0.069,12.5824227,0.969,0.053,0.053,1.467,0.033,0.033,1
Kepler-37d,1.922,0.024,39.79223254,0.810,0.010,0.020,0.7725,0.0063,0.0051,1
K02706.01,1.797,0.082,3.09759722,1.26,0.18,0.18,1.86,0.08,0.08,-1
Kepler-21,1.707,0.043,2.785821984,1.27,0.08,0.08,1.85,0.03,0.03,-1
Kepler-23b,1.694,0.076,7.10699573,1.078,0.077,0.077,1.548,0.048,0.048,-1
Kepler-107c,1.664,0.065,4.90144130,1.142,0.068,0.068,1.411,0.047,0.047,-1
Kepler-1002,1.609,0.046,4.33642231,1.18,0.07,0.07,1.54,0.02,0.02,-1
Kepler-1298,1.588,0.089,7.1283647,1.37,0.17,0.17,2.16,0.07,0.07,-1
Kepler-338e,1.587,0.083,9.3414940,1.142,0.084,0.084,1.735,0.082,0.082,-1
Kepler-107b,1.581,0.056,3.18002612,1.142,0.068,0.068,1.411,0.047,0.047,-1
K00269.01,1.549,0.047,18.0118112,1.33,0.08,0.08,1.45,0.02,0.02,-1
Kepler-127b,1.52,0.13,14.4357710,1.240,0.086,0.086,1.359,0.035,0.035,-1
Kepler-100d,1.514,0.034,35.3331343,1.109,0.020,0.020,1.5131,0.011,0.0093,-1
Kepler-65d,1.506,0.040,8.13123121,1.199,0.030,0.030,1.401,0.014,0.013,-1
Kepler-126c,1.498,0.062,21.8696410,1.148,0.049,0.051,1.345,0.018,0.015,-1
K02462.01,1.491,0.083,12.1453370,1.19,0.1,0.1,1.71,0.04,0.04,-1
Kepler-93,1.477,0.033,4.7267393086,0.89,0.07,0.07,0.91,0.02,0.02,-1
Kepler-1274,1.441,0.071,6.9815621,1.38,0.07,0.07,2.16,0.04,0.04,-1
Kepler-126b,1.439,0.020,10.49563430,1.148,0.049,0.051,1.345,0.018,0.015,-1
Kepler-65b,1.409,0.017,2.154915625,1.199,0.030,0.030,1.401,0.014,0.013,-1
Kepler-907,1.403,0.081,15.8663151,0.99,0.08,0.08,1.34,0.03,0.03,-1
Kepler-130d,1.31,0.13,87.521124,0.934,0.059,0.059,1.127,0.033,0.033,-1
Kepler-100b,1.305,0.030,6.88703747,1.109,0.020,0.020,1.5131,0.011,0.0093,-1
Kepler-997,1.304,0.072,2.70729536,1.09,0.18,0.18,1.48,0.07,0.07,-1
Kepler-197d,1.244,0.049,15.6778713,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-197c,1.208,0.048,10.34971154,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-409,1.148,0.048,68.9582529,0.95,0.08,0.08,0.9,0.02,0.02,-1
Kepler-197b,1.064,0.038,5.59929339,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-107d,1.064,0.062,7.9582511,1.142,0.068,0.068,1.411,0.047,0.047,-1
Kepler-1394,1.04,0.11,3.9380032,1.51,0.21,0.21,1.98,0.08,0.08,-1
K03168.01,0.988,0.076,56.38245,1.03,0.16,0.16,1.55,0.07,0.07,-1
Kepler-197e,0.983,0.048,25.209714,0.922,0.059,0.059,1.120,0.033,0.033,-1
Kepler-130b,0.976,0.045,8.4572511,0.934,0.059,0.059,1.127,0.033,0.033,-1
Kepler-68c,0.927,0.025,9.60497945,1.070,0.020,0.010,1.2379,0.0051,0.0067,-1
K02801.01,0.870,0.061,6.9918016,1.12,0.17,0.17,1.45,0.06,0.06,-1
Kepler-450d,0.837,0.068,7.5146423,1.346,0.084,0.084,1.570,0.085,0.085,-1
Kepler-910,0.828,0.049,2.36438832,1.29,0.09,0.09,1.5,0.03,0.03,-1
Kepler-37c,0.705,0.012,21.30207192,0.810,0.010,0.020,0.7725,0.0063,0.0051,-1
Kepler-408,0.689,0.017,2.46502417,1.02,0.07,0.07,1.21,0.02,0.02,-1
Kepler-1392,0.684,0.052,2.12822924,0.99,0.15,0.15,1.3,0.06,0.06,-1
Kepler-444f,0.679,0.008,9.74052936,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
K01964.01,0.668,0.029,2.229322685,0.93,0.11,0.11,0.88,0.03,0.03,-1
KOI-5c,0.642,0.061,7.0517413,1.199,0.030,0.020,1.795,0.014,0.015,-1
Kepler-444e,0.533,0.019,7.7435010,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444d,0.530,0.025,6.18951254,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444c,0.490,0.024,4.54581744,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-444b,0.381,0.021,3.60012528,0.740,0.010,0.010,0.7492,0.0040,0.0046,-1
Kepler-37b,0.354,0.014,13.3680538,0.810,0.010,0.020,0.7725,0.0063,0.0051,-1